wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Obadiah Bertinoro,"גלנטי, משה בן מרדכי","bertinoro, obadiah",1.0
Bai Li,"li, bai","li, bai",1.0
Albert Christoph Dies,Joseph Haydn,"dies, albert christoph",1.0
Joseph de Voisin,"martí, ramon","voisin, joseph de",1.0
William Andrews Clark,william andrews clark memorial library,"clark, william andrews",1.0
Bayerische Staatsbibliothek,paracelsus,bayerische staatsbibliothek,1.0
Lucius Septimius Severus,Roman emperor,"severus, lucius septimius",1.0
Pompeius Trogus,Epitome of the Philippic History of Pompeius Trogus,"trogus, pompeius",1.0
Vibius Sequester,"gallus, gaius cornelius",vibius sequester,1.0
Christoph Weigel,"köhler, johann david","weigel, christoph",1.0
Charles Jacques Poncet,iyasu,"poncet, charles jacques",1.0
Bernardo Segni,Renaissance philosophy,"segni, bernardo",1.0
William Hayley,"collins, william","hayley, william",1.0
"Palladio, Andrea","le muet, pierre","palladio, andrea",1.0
George Auriol,"uzanne, octave","auriol, george",1.0
Loredan Larchey,"uzanne, octave","larchey, loredan",1.0
Hendrik Constantijn Cras,universiteit van amsterdam. bibliotheek,"cras, henrik constantijn",0.9796
Plantin-Moretus Museum,"rooses, max",museum plantin-moretus,0.9778
Jean-Jaques Rousseau,"behn, aphra","rousseau, jean-jacques",0.9767
August von Kotzebues,inchbald,"kotzebue, august von",0.9756
Christopher Plantin,"junius, hadrianus","plantin, christophe",0.9744
Antonio Valisnieri,Francesco Scipione Maffei,"vallisnieri, antonio",0.9744
Louis Ellies Dupin,chrysanthos,"du pin, louis ellies",0.9744
Florent Chretien,"gillot, jacques","chrestien, florent",0.9714
Johannes Drusius,"cunaeus, petrus","drusius, joannes",0.9697
Roger Lestrange,"l'estrange, roger","l'estrange, roger",0.9697
Josephus Flavius,Moses in rabbinic literature,"josephus, flavius",0.9697
Claude Lorraine,Gardening,"lorrain, claude",0.9677
Trogus Pompeius,"bongars, jacques","trogus, pompeius",0.9677
Henrique Flórez,"canal, josé de la","flórez, enrique",0.9677
Alliance Israelite Universelle,Jewish emancipation,alliance israélite universelle,0.9667
Louis-Antoine de Bougainville,Panthéon,"bougainville, louis antoine de",0.9667
Bonaventura Corneille Bertram,"canini, angelo","bertram, bonaventure corneille",0.9667
Conrad Gesner,Index Librorum Prohibitorum,"gessner, conrad",0.9655
William Caton,"sewel, william","caxton, william",0.9655
Bruno Giordano,"bruno, giordano","bruno, giordano",0.9655
Leonard Euler,"murr, christoph gottlieb von","euler, leonhard",0.9655
Santes Pagnini,"mercier, jean","pagnini, sante",0.9655
Christian Benedikt Michaelis,"michaelis, johann david","michaelis, christian benedict",0.9655
Theodore Herzl,Jacob Katz,"herzl, theodor",0.9655
Theodor Hertzl,"bodenheimer, f. s","herzl, theodor",0.9655
Jean-Baptiste Louis Crevier,"le beau, charles","crevier, jean baptiste louis",0.9643
A. F. Pollard,House of Commons of the United Kingdom,"pollard, a. f",0.963
Maria Theresia,Austrian National Library,maria theresa,0.963
Pierre Janet,"jannet, pierre","jannet, pierre",0.963
Robert Burnes,Agnes Maclehose,"burns, robert",0.963
Bibliothèque de l'Arsenal,"ameilhon, hubert-pascal",bibliotheque de l'arsenal,0.96
C. R. Ashbee,"ruskin, john","ashbee, c. r",0.96
Joseph Lange,Wolfgang Amadeus Mozart,"lang, joseph",0.96
Jacques-François Blondel,"mariette, jean","blondel, jacques-francois",0.96
"Blondel, Jacques-François",académie royale d'architecture (france),"blondel, jacques-francois",0.96
Giovanni Battista Casti,Joseph Haydn,"casotti, giovanni battista",0.96
Abraham Gotthelf Kästner,"hausen, christian august","kastner, abraham gotthelf",0.96
Johann Gaspar Scheuchzer,"scheuchzer, john gaspar","scheuchzer, john gaspar",0.9583
Aaron Shmuel Kaidanover,"כץ, שבתי בן מאיר (ש""ך)","kaidanover, aaron samuel",0.9583
Johan Lund,"lund, johann","lund, johann",0.9565
Carl Leonhard Reinhold,German literature,"reinhold, karl leonhard",0.9565
Johann Eckk,Index Librorum Prohibitorum,"eck, johann",0.9565
