wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
William Hoare,"chesterfield, philip dormer stanhope","horneck, william",0.8667
Henry Lemonnier,académie royale d'architecture (france),"mosnier, henry",0.8667
Charles Hutton,"franklin, benjamin","cotton, charles",0.8667
Hermann Fränkel,Ibis (Ovid),"ranke, hermann",0.8667
Giuseppe Vasi,catholic church. congregatio de propaganda fide,"pasini, giuseppe",0.8667
Charles Reade,"erasmus, desiderius","leandre, charles",0.8667
Pierre Villon,"astier, emmanuel d'","vaillant, pierre",0.8667
Charles Warner,"richepin, jean","warren, charles",0.8667
Johannes Brenz,"vermigli, pietro martire","braun, johannes",0.8667
Jacobus Gallus,Passion of Jesus,"golius, jacobus",0.8667
Harrison Report,בריטניה הגדולה. הוועדה המלכותית לפלשתינה (ארץ ישראל),"post, harrison",0.8667
William Saywell,"pearson, john","sewel, william",0.8667
Joseph Campbell,Hebrew Bible,"campbell, john",0.8667
Richard Croke,Ulrich von Hutten,"pococke, richard",0.8667
Charles Ollier,"keats, john","rollin, charles",0.8667
Michael Ventris,Literature,"denis, michael",0.8667
Jean de Fontaney,"visdelou, claude de","la fontaine, jean de",0.8649
Talk:Georg Witkowski,"witkowski, georg","witkowski, georg",0.8649
Charles de Villers,staël,"devillers, charles",0.8649
Johannes Loccenius,"scheffer, johannes","coccejus, johannes",0.8649
Franciscus Portus,Franciscus,"donatus, franciscus",0.8649
Franciscus Sonnius,Franciscus,"junius, franciscus",0.8649
Jean-Antoine Watteau,Commedia dell'arte,"watteau, antoine",0.8649
Jean-Louis Carra,bibliothèque nationale de france,"barrault, jean-louis",0.8649
Mordecai ben Nissim,"אפנדופולו, כלב בן אליהו",mordecai ben nisan,0.8649
Friedrich Silcher,"heine, heinrich","schiller, friedrich",0.8649
Joseph Mendelssohn,"mendelssohn, moses","mendelssohn, moses",0.8649
Talk:François Villon,"villon, françois","villon, françois",0.8649
Antonio Francesco Gori,Francesco Scipione Maffei,"doni, anton francesco",0.8636
Johann Friedrich Bolt,"archenholz, johann wilhelm von","hirt, johann friedrich",0.8636
Jean-Baptiste Cœuilhe,bibliothèque nationale de france,"wilhelm, jean-baptiste",0.8636
Johann Baptist Schwab,"gerson, jean","schels, johann baptist",0.8636
Charles William King,Valentinus (Gnostic),"wilson, charles william",0.8636
Talk:Giovanni Domenico Mansi,"mansi, giovan domenico","mansi, giovan domenico",0.8627
Charles Rosen,"fichte, johann gottlieb","eisen, charles",0.8571
Gabriel Fauré,"fichte, johann gottlieb","naudé, gabriel",0.8571
Justin I,boethius,justin,0.8571
Friedrich Wöhler,"darwin, charles","walther, friedrich",0.8571
Charles Davenport,"linné, carl von","davenant, charles",0.8571
Thomas Römer,Tetragrammaton,"cranmer, thomas",0.8571
John Bercow,House of Commons of the United Kingdom,"row, john",0.8571
Francis Crick,Medicine,"carco, francis",0.8571
Jean-François Boyer,"Louis, Dauphin of France (born 1729)","bernard, jean-françois",0.8571
John Mills,"le clerc, jean","hill, john",0.8571
Richard Nixon,Idris of Libya,"simon, richard",0.8571
Francisco Álvares,Prester John,"valles, francisco",0.8571
Johann Heinrich Alting,"buxtorf, johann","hottinger, johann heinrich",0.8571
Erich Honecker,History of Germany,"hancke, erich",0.8571
Geoffrey Howe,William Pitt the Younger,"west, geoffrey",0.8571
Martin Gilbert,alliance israélite universelle,"geier, martin",0.8571
William Bridge,"lightfoot, john","reid, william",0.8571
Claude Rains,Leaves of Grass,"lorrain, claude",0.8571
Leon of Modena,"simon, richard","modena, leone",0.8571
Aelius Caesar,marcus aurelius,"caesar, julius",0.8571
Justinian II,marcus aurelius,justinian,0.8571
Jules Michelet,"hoffmann, e. t. a","cheret, jules",0.8571
Pierre Reverdy,"miró, joan","emery, pierre",0.8571
Charles Oman,Peninsular War,"martin, charles",0.8571
Thomas Paine,"alembert, jean le rond d'","parnell, thomas",0.8571
William Howitt,"chamisso, adelbert von","pitt, william",0.8571
Christian August Pohlenz,"walter, bruno","hausen, christian august",0.8571
James Galway,"walter, bruno","dallaway, james",0.8571
Richard Mohr,"walter, bruno","oehler, richard",0.8571
Pierre Messmer,"guizot, françois","emery, pierre",0.8571
John Still,terence,"hill, john",0.8571
John D. Rosenberg,"ruskin, john","rosenberg, johann",0.8571
Joseph Severn,"ruskin, john","servan, joseph",0.8571
John Blund,"cranmer, thomas","bond, john",0.8571
Robert Burnell,"cranmer, thomas","burns, robert",0.8571
Giovan Battista Viotti,"rouget de lisle, claude joseph","casotti, giovanni battista",0.8571
Chris Martin,victoria and albert museum,"martin, charles",0.8571
Walter A. Copinger,Incunable,"copinger, walter arthur",0.8571
2 Samuel,Solomon's Temple,samuel,0.8571
Ford Mansion,"washington, george","mansion, colard",0.8571
Maurice Samuel,שלום עליכם,"saxe, maurice",0.8571
Giovanni Battista Doni,"manuzio, aldo","casotti, giovanni battista",0.8571
Talk:Gabriel Sionita,gabriel sionita,gabriel sionita,0.8571
Hermann Abert,Wolfgang Amadeus Mozart,"adler, hermann",0.8571
Lucius Caesar,History of the Roman Empire,"caesar, julius",0.8571
Robert Weston,"bury, richard de","wilson, robert",0.8571
Henry Harland,"beardsley, aubrey","holland, henry",0.8571
Silvestre de Sacy,La Fontaine's Fables,"sacy, louis-silvestre de",0.8571
John Boyne,The Holocaust in the arts and popular culture,"bond, john",0.8571
André Demaison,"lépidis, clément","masson, andré",0.8571
Judah ibn Tibbon,judah,"tibon, yehudah ibn",0.8571
Charles Dodds,"wotton, edward","doris, charles",0.8571
Jean Paulhan,"mourlot, fernand",jean paul,0.8571
Gaius Cornelius Tacitus,"lipsius, justus","tacitus, cornelius",0.8571
Martin Lister,"ray, john","luther, martin",0.8571
William Byrd,George Herbert,"bowyer, william",0.8571
John Byron,John Hawkesworth (book editor),"bond, john",0.8571
Pierre Bardin,"siegfried, andré","guarin, pierre",0.8571
Catherine II,Seven Years' War,catherine,0.8571
John Grandy,"wilson, robert","ray, john",0.8571
John Keay,Science,"keats, john",0.8571
Giovanni Battista Quarantotti,catholic church. congregatio de propaganda fide,"casotti, giovanni battista",0.8571
Hermann Maier,Austria,"adler, hermann",0.8571
Thomas Pennant,"christie, thomas","penny, thomas",0.8571
John Keill,William Whiston,"hill, john",0.8571
Talk:Hermann Struck,"struck, hermann","struck, hermann",0.8571
Johann Friedrich Böttger,augustus,"gruner, johann friedrich",0.8571
Jacob Meir,"פניז'יל, אליהו משה","jacob, mira",0.8571
Talk:Ludwig Richter,"richter, ludwig","richter, ludwig",0.8571
Bibliothèque nationale de Paris,maurists,bibliothèque nationale de france,0.8571
Pierre Helyot,maurists,"lyonet, pierre",0.8571
John Thomas Fane,"westmorland, john fane","jones, john thomas",0.8571
Hermann Haken,"schelling, friedrich wilhelm joseph von","ranke, hermann",0.8571
Bartolomeo Lopaci,luis,"facio, bartolomeo",0.8571
Theodor Hirsch,"hozjusz, stanisław","hoch, theodor",0.8571
Friedrich Christian Meuschen,"meuschen, johann gerhard","lesser, friedrich christian",0.8571
Hermann Sasse,Eucharist,"hesse, hermann",0.8571
William Skete,"pearson, john","sewel, william",0.8571
Martin Maiden,Italian grammar,"bladen, martin",0.8571
Lourens Muller,Tom Naudé,"muller, louis",0.8571
John Coke,"selden, john","colet, john",0.8571
Pierre Leroux,Ferdinand Lassalle,"le roy, pierre",0.8571
Conrad Geyer,"herbart, johann friedrich","gessner, conrad",0.8571
Joseph Sobran,"whitman, walt","servan, joseph",0.8571
Pierre Levet,"villon, françois","le muet, pierre",0.8571
Robert Simson,euclid,"wilson, robert",0.8571
Walda Haymanot,iyasu,takla haymanot,0.8571
Richard Stone,cambridge university press,"simon, richard",0.8571
Johann Andreas Planer,"hausen, christian august","danz, johann andreas",0.8571
Laurence Steinberg,Thought,"sterne, laurence",0.8571
A. Guillaume,Muhammad,guillaume,0.8571
William Heste,"cameron, charles","white, william",0.8571
Universitätsbibliothek Salzburg,Incunable,universitätsbibliothek leipzig,0.8525
Friedrich Christian Delius,"frisch, max","lesser, friedrich christian",0.8519
Giovanni Battista Morgagni,"vallisnieri, antonio","spampani, giovanni battista",0.8519
Giovanni Battista Cipriani,"hollis, thomas","spampani, giovanni battista",0.8519
Johann Georg Schlosser,"pestalozzi, johann heinrich","schulthess, johann georg",0.8511
Johann Jakob Breitinger,"pestalozzi, johann heinrich","hottinger, johann jakob",0.8511
Christian Daniel Rauch,"gneisenau, august wilhelm anton","erhard, christian daniel",0.8511
Johann Heinrich Cohausen,"campbell, john","majus, johann heinrich",0.8511
Johann Friedrich Löwen,"lessing, gotthold ephraim","gmelin, johann friedrich",0.8511
Johann Friedrich Fischer,phaedrus,"hirt, johann friedrich",0.8511
Johann Gottfried Tulla,Rhine,"oertel, johann gottfried",0.8511
Johann Friedrich Flatt,"storr, gottlob christian","franck, johann friedrich",0.8511
Johann Georg Tobler,"pestalozzi, johann heinrich","müller, johann georg",0.85
Johann Peter Krafft,Ossian,"krafft, johann georg",0.85
Johann Georg Jacobi,"jacobi, friedrich heinrich","abicht, johann georg",0.85
Franciscus Aguilonius,Franciscus,"junius, franciscus",0.85
Francesco Eschinardi,"buonanni, filippo","sacchini, francesco",0.85
Francisco de Robles,Don Quixote,"toledo, francisco de",0.85
M. Steinschneider,"ציוני, מנחם בן מאיר","steinschneider, moritz",0.85
Giuseppe Mazzini,"wollstonecraft, mary","pasini, giuseppe",0.8485
Guillaume Brune,"wollstonecraft, mary","debure, guillaume",0.8485
Christoph Heger,"fichte, johann gottlieb","weigel, christoph",0.8485
"Cambridge University Library, Ff. i.27",cambridge university library,cambridge university library,0.8485
Charles Waterton,"darwin, charles","cameron, charles",0.8485
Jacobus Bontius,"linné, carl von","bedrotus, jacobus",0.8485
Charles Jencks,Divina proportione,"jenkinson, charles",0.8485
Jean-Paul Marat,Battle of Novi (1799),"sartre, jean-paul",0.8485
Gaspard Goyrand,Cholera,"gourgaud, gaspard",0.8485
Jacques Cassagne,"perrault, charles","basnage, jacques",0.8485
Giovanni Manardo,"rabelais, françois","manfré, giovanni",0.8485
Flavius Josèphe,"arnauld, d'andilly, robert","josephus, flavius",0.8485
William Mudford,"cumberland, richard","bradford, william",0.8485
Georges Valmier,"braque, georges","lemierre, georges",0.8485
Francisco Oller,"liebermann, max","valles, francisco",0.8485
Martha Liebermann,"liebermann, max","liebermann, max",0.8485
John K. Richards,"beck, james m","richardson, john",0.8485
Harry Graf Kessler,"behmer, marcus","kessler, harry",0.8485
Talk:Pierre Pithou,"pithou, pierre","pithou, pierre",0.8485
Agostino Busti,victoria and albert museum,"faustini, agostino",0.8485
Giuseppe Briati,victoria and albert museum,"baretti, giuseppe",0.8485
Bruno Mussolini,"mussolini, benito","mussolini, benito",0.8485
Samuel Maresius,"alting, jacob","dresemius, samuel",0.8485
Sebastian Brant,Bible concordance,"franck, sebastian",0.8485
Mabel Beardsley,"beardsley, aubrey","beardsley, aubrey",0.8485
Friedrich Hirth,History of the Byzantine Empire,"schmit, friedrich",0.8485
Walter Charleton,"wotton, edward","hamilton, walter",0.8485
William Aylesbury,"davila, arrigo caterino","hayley, william",0.8485
Pietro De Martino,"boscovich, ruggero giuseppe","aretino, pietro",0.8485
Talk:Paul Delaunay,"delaunay, paul","delaunay, paul",0.8485
Sebastian Brock,Semitic languages,"franck, sebastian",0.8485
Francesco Uttini,"de geer, charles","torti, francesco",0.8485
John Henry Holland,Natural selection,"holland, henry",0.8485
William Hechler,"herzl, theodor","shepherd, william",0.8485
Johannes Bogerman,"amama, sixtinus","braun, johannes",0.8485
Francesco Traini,Danse Macabre,"torti, francesco",0.8485
Jacques De Decker,"crickillon, jacques","necker, jacques",0.8485
William Billings,"young, edward","collins, william",0.8485
Charles Levier,"picart, bernard","devillers, charles",0.8485
William Chaderton,"pearson, john","caxton, william",0.8485
Erik Friedlander,"friedlander, lee","friedlander, lee",0.8485
Giuseppe Carpani,Joseph Haydn,"pasini, giuseppe",0.8485
Richard Hoelscher,"kästner, erich","oehler, richard",0.8485
Carl von Linnaeus,Psychology,"linné, carl von",0.8485
Charles Boileau,"duclos, charles pinot-","grolleau, charles",0.8485
Daniel Auber,"fichte, johann gottlieb","axner, daniel",0.8462
Ferenc Erkel,"fichte, johann gottlieb","lehel, ferenc",0.8462
Thomas Hobbes,Homiletics,"hoby, thomas",0.8462
Jan Frederik Gronovius,"linné, carl von","gronovius, joannes fredericus",0.8462
Johann Bauhin,"linné, carl von","jahn, johann",0.8462
John Longland,List of Shakespearean characters (A–K),"toland, john",0.8462
Thomas More,List of Shakespearean characters (A–K),"murner, thomas",0.8462
Pierre Duhem,"schreckenfuchs, erasmus oswald","dauze, pierre",0.8462
Ernst Meister,"frisch, max","stern, ernst",0.8462
Ernst Curtius,demosthenes,"crous, ernst",0.8462
Louis Lemoine,Battle of Novi (1799),"morin, louis",0.8462
Benny Morris,"Acre, Israel","morris, henry",0.8462
John Eachard,"lightfoot, john","chardin, john",0.8462
William Mew,"lightfoot, john","sewel, william",0.8462
Henry Malter,"פלקירה, שם טוב בן יוסף","marten, henry",0.8462
Jean Meslier,"alembert, jean le rond d'","mistler, jean",0.8462
Franz Schalk,"walter, bruno","schulz, franz",0.8462
Egon Pearson,"russell, john russell","pearson, john",0.8462
Eugène Spuller,"guizot, françois","sue, eugène",0.8462
Joseph Laniel,"guizot, françois","lang, joseph",0.8462
Erich Heckel,"liebermann, max","hancke, erich",0.8462
Giovanni Battista Orsini,"caoursin, guillaume","spampani, giovanni battista",0.8462
Louis Vuitton,Monogram,"vitet, louis",0.8462
Pierre Cottard,Monogram,"cot, pierre",0.8462
Giovanni Battista Caprara,Panthéon,"rasario, giovanni battista",0.8462
Giovanni Battista Tommasi,Sovereign Military Order of Malta,"rasario, giovanni battista",0.8462
Maurice Sand,Commedia dell'arte,"saxe, maurice",0.8462
Henry Marcel,bibliothèque nationale de france,"marten, henry",0.8462
Alfred Barye,Louvre,"jarry, alfred",0.8462
John Abraham,Parsis,"marsham, john",0.8462
Pierre Hadot,porphyry,"didot, pierre",0.8462
Alfred Drury,victoria and albert museum,"jarry, alfred",0.8462
René Lacoste,René,"laporte, rené",0.8462
Thomas Nashe,English poetry,"walsh, thomas",0.8462
Henry Torrès,"lecache, bernard","morris, henry",0.8462
Pierre Malet,"périer, etienne","bayle, pierre",0.8462
Hugo Blotius,Austrian National Library,"grotius, hugo",0.8462
Peter Feller,"barrault, jean-louis","müller, peter",0.8462
Roger Blondel,"siegfried, andré","godel, roger",0.8462
John Pye-Smith,"montgomery, james","smith, john",0.8462
Thomas Dolman,"l'estrange, roger","mann, thomas",0.8462
Maurice Key,"stubbs, charles william","leroy, maurice",0.8462
August Alle,August (name),"zoller, august",0.8462
"Holon, Israel","herzl, theodor","lyons, israel",0.8462
Martin Sharp,john,"smart, martin",0.8462
Johann Friedrich Reichardt,"voss, johann heinrich","herbart, johann friedrich",0.8462
Henry Malden,"drinkwater, john","marten, henry",0.8462
Pierre Daret,"gomberville, m. le roy","dauze, pierre",0.8462
Thomas Redman,"pearson, john","mann, thomas",0.8462
Ernst Stadler,"schickele, rené","stern, ernst",0.8462
Victor Hugues,John Moore (British Army officer),"hugo, victor",0.8462
Johann Christoph Ernesti,"ernesti, johann august","wagenseil, johann christoph",0.8462
Jean Mairet,"racine, jean","mariette, jean",0.8462
Jean Tiberi,History of Paris,"imberdis, jean",0.8462
Bruder Martin,"luther, martin","bucer, martin",0.8462
Bibliographical Society of America,"stillwell, margaret bingham",bibliographical society of lancashire,0.8451
Rime (Giovanni Boccaccio),"boccaccio, giovanni","boccaccio, giovanni",0.8444
Johann Heinrich Zedler,"hulsius, antonius","waser, johann heinrich",0.8444
Johann Friedrich König,"glass, salomon","hirt, johann friedrich",0.8444
Claudius Aelianus,suetonius,"claudianus, claudius",0.8421
Friedrich Schlegel,"fichte, johann gottlieb","schiller, friedrich",0.8421
Joseph Scaliger,"פומיס, דוד בן יצחק דה","scaliger, joseph juste",0.8421
John Snow,Cholera,"row, john",0.8421
Franciscus Gomarus,"oecolampadius, johann","donatus, franciscus",0.8421
John Dury,"lightfoot, john","ray, john",0.8421
John Stow,"speght, thomas","row, john",0.8421
Jean Arp,The Sound and the Fury,"rapp, jean",0.8421
Guy Hain,Art forgery,"patin, guy",0.8421
William Hazlitt,"guizot, françois","hazlitt, william carew",0.8421
Christian Schotan,יום טוב ליפמן,"schöttgen, christian",0.8421
Franciscus Donders,Franciscus,"donatus, franciscus",0.8421
Franciscus Duarenus,Franciscus,"junius, franciscus",0.8421
Franciscus Irenicus,Franciscus,"junius, franciscus",0.8421
"I, Claudius",Seneca the Younger,claudius,0.8421
John Ord,"jenkinson, charles","bond, john",0.8421
Talk:Jean Cinqarbres,"cinquarbres, jean","cinquarbres, jean",0.8421
John Blow,George Herbert,"row, john",0.8421
Bartolomeo Ruspoli,catholic church. congregatio de propaganda fide,"soliani, bartolomeo",0.8421
Alessandro Butti,"bertieri, raffaello","benedetti, alessandro",0.8421
Friedrich Schwally,Quran,"schiller, friedrich",0.8421
Paul Oskar Kristeller,"דלמדיגו, אליהו בן משה","kristeller, paul",0.8421
Abba Saga,abba sabra,abba sabra,0.8421
John Rhys,"rhys, ernest","ray, john",0.8421
Claudius II,Historia Augusta,claudius,0.8421
Matthias Erzberger,"zweig, arnold","bernegger, matthias",0.8421
Johann Jacob Moser,"moser, friedrich carl","bauer, johann jacob",0.8421
Quintus Curtius,"freinsheim, johann","curtius rufus, quintus",0.8421
Yohannes II,claudius,yohannes,0.8421
Yohannes IV,claudius,yohannes,0.8421
Johann Jakob Haid,"hoeschel, david","harder, johann jacob",0.8421
University of Cambridge,cambridge university library,cambridge university press,0.84
Gottlieb Heinrich Heer,"frisch, max","schwartz, gottlieb heinrich",0.84
Johann Friedrich Overbeck,"tasso, torquato","franck, johann friedrich",0.84
Johann Friedrich Schweitzer,helvétius,"hirt, johann friedrich",0.84
Giovanni Battista Borra,victoria and albert museum,"rasario, giovanni battista",0.84
Charles Fourier,"fichte, johann gottlieb","nodier, charles",0.8387
Johannes Burman,"linné, carl von","braun, johannes",0.8387
Wilhelm Bacher,"מינדן, יהודה ליב בן יואל","schäfer, wilhelm",0.8387
Francesco Melzi,Divina proportione,"redi, francesco",0.8387
Henry Charteris,"robertson, william","harrisse, henry",0.8387
William Brodie,"robertson, william","romaine, william",0.8387
Alexander Posch,"frisch, max","pope, alexander",0.8387
Lewis de Dieu,"l'empereur, constantijn","dieu, lodewijk de",0.8387
Lucien Bonaparte,Battle of Novi (1799),louis bonaparte,0.8387
Johann Reuchlin,"ספורנו, עובדיה בן יעקב","reuchlin, anton",0.8387
François Bayrou,Brittany (administrative region),"bayle, françois",0.8387
Antoine Armand,"necker, jacques","galland, antoine",0.8387
Johannes Brahms,"constant, benjamin","braun, johannes",0.8387
Charles Dowding,Gardening,"darwin, charles",0.8387
Charles Estienne,"rabelais, françois","eisen, charles",0.8387
Christian name,Medal,"garve, christian",0.8387
Charles Clarke,"Arthur Wellesley, 1st Duke of Wellington","leandre, charles",0.8387
Francesco Nelli,"petrarca, francesco","redi, francesco",0.8387
Charles Grean,Christmas music,"grolleau, charles",0.8387
William Cullen,"alembert, jean le rond d'","collins, william",0.8387
Heinrich Pröhle,"wieland, christoph martin","muhle, heinrich",0.8387
Charles Meynier,"berthier, louis-alexandre","nodier, charles",0.8387
François Darlan,"guizot, françois","halma, françois",0.8387
William Brymner,"liebermann, max","bowyer, william",0.8387
Wolfgang Mieder,"liebermann, max","seber, wolfgang",0.8387
William Broome,"pope, alexander","romaine, william",0.8387
Carl Siegfried,philo,"siegfried, andré",0.8387
British military,"אשכול, לוי",british library,0.8387
Charles Dunoyer,bibliothèque nationale de france,"nodier, charles",0.8387
Laurence Engel,bibliothèque nationale de france,"sterne, laurence",0.8387
Christian Arab,Arabic literature,"garve, christian",0.8387
Thomas Warton,"dryden, john","bartholin, thomas",0.8387
William Empson,"dryden, john","thomson, william",0.8387
Wilkie Collins,Christoph Friedrich Nicolai,"collins, william",0.8387
Domenico Fontana,Index Librorum Prohibitorum,"fava, domenico",0.8387
Talk:Jean Molinet,"molinet, jean","molinet, jean",0.8387
Geoffrey Khan,Aramaic,"wakeman, geoffrey",0.8387
Alexander Bogen,The Holocaust in the arts and popular culture,"pope, alexander",0.8387
Thomas Phillipps,Book collecting,"hollis, thomas",0.8387
Talk:Florent Fels,"fels, florent","fels, florent",0.8387
Wolfgang Gasser,"burgtheater (vienna, austria)","seber, wolfgang",0.8387
Alexander Potts,History,"pope, alexander",0.8387
Francesco Berni,"anguillara, giovanni andrea dell'","redi, francesco",0.8387
United States Army,"rothschild, henri de",united states,0.8387
Christian God,Heruy Wolde Selassie,"gerson, christian",0.8387
Talk:Matteo Noris,"noris, matteo","noris, matteo",0.8387
William Sharpey,"reid, william","hayley, william",0.8387
Christian Post,Religion in Egypt,"stock, christian",0.8387
Lorenzo Mongiò,"galatino, pietro","mangini, lorenzo",0.8387
Charles Gleyre,Impressionism,"leandre, charles",0.8387
Christian rite,Christianity,"garve, christian",0.8387
Geoffrey Keen,"carrick, edward","wakeman, geoffrey",0.8387
Marcel Martinet,"masereel, frans","marcian, marcel",0.8387
Talk:Manuel Risco,"risco, manuel","risco, manuel",0.8387
Francis Beaumont,"chaucer, geoffrey","bacon, francis",0.8387
Francesco Eroli,"vermigli, pietro martire","redi, francesco",0.8387
Giovanni Romano,luis,"rosso, giovanni",0.8387
Werner Hegemann,"brentano, lujo","hofmann, werner",0.8387
Thomas Nevile,"pearson, john","corneille, thomas",0.8387
Charles Tarrant,"percy, thomas","warren, charles",0.8387
Thomas Orwell,"percy, thomas","corneille, thomas",0.8387
Ludwig Finscher,Joseph Haydn,"richter, ludwig",0.8387
Richard Shelley,"selden, john","steele, richard",0.8387
Ian Richardson,"warren, charles","richardson, john",0.8387
Wilhelm Sihler,"callenberg, johann heinrich","schäfer, wilhelm",0.8387
Johannes Sturm,"sturm, johann christophorus","schram, johannes",0.8387
Jacob Bernoulli,"euler, leonhard","bernoulli, jean",0.8387
Jakob Bernoulli,"euler, leonhard","bernoulli, jean",0.8387
Talk:Caspar Hedio,"hedio, kaspar","hedio, kaspar",0.8387
Casa Stefan Zweig,"zweig, stefan","zweig, stefan",0.8387
Charles Arnoldi,Expressionism,"rollin, charles",0.8387
Camp Walt Whitman,"whitman, walt","whitman, walt",0.8387
Christian era,Manuscript,"gerson, christian",0.8387
Leonhard Hutter,"glass, salomon","euler, leonhard",0.8387
Christian Bale,Moses,"garve, christian",0.8387
Cambridge University Press v. Patton,cambridge university press,cambridge university press,0.8387
Jay Rosenberg,Epistemology,"rosenberg, johann",0.8387
Charles Meunier,"uzanne, octave","nodier, charles",0.8387
Wilhelm Heinrich Vorst,"גאנז, דוד בן שלמה","vorst, willem henrik",0.8372
Johan Christian Dahl,"constant, benjamin","wolf, johann christian",0.8372
Talk:Johannes Schefferus,"scheffer, johannes","scheffer, johannes",0.8372
George Corbin Washington,"washington, george","washington, george",0.8372
Alessandro Pavolini,"mussolini, benito","piccolomini, alessandro",0.8372
Junianus Justinus,"estienne, robert","justinus, marcus junianus",0.8372
Benjamin de Rothschild,"rothschild, henri de","rothschild, henri de",0.8372
Johannes Fabricius,"fabricius, johann albert","fabricius, johann albert",0.8372
Cambridge University Reporter,cambridge university library,cambridge university press,0.8364
Christian Friedrich Hebbel,"frisch, max","gessner, christian friedrich",0.8364
Christian Friedrich Zincke,victoria and albert museum,"gessner, christian friedrich",0.8364
Henry More,boethius,"marten, henry",0.8333
Alexander Berkman,Revolution,"beatson, alexander",0.8333
Johann Most,Revolution,"vogt, johann",0.8333
Roman Catholic Church,"reinhold, karl leonhard",catholic church,0.8333
Johannes Bischoff,"frisch, max","scheffer, johannes",0.8333
Johann Wild,List of biblical commentaries,"lund, johann",0.8333
Christian state,Prester John,"schöttgen, christian",0.8333
Carl Ritter,Human geography,"ritter, paul",0.8333
John Chishull,William Pitt the Younger,"hill, john",0.8333
Greek Catholic Church,maria theresa,catholic church,0.8333
Johannes Morinus,"simon, richard","minellius, johannes",0.8333
Al Pollard,"pollard, alfred w","pollard, a. f",0.8333
Pieter van Bloemen,Battle of Blenheim,"cleef, pieter van",0.8333
Jacobus Arminius,"grotius, hugo","perizonius, jacobus",0.8333
John Nelder,"russell, john russell","selden, john",0.8333
Johannes Camphuys,nederlandsche oost-indische compagnie,"adelphus, johannes",0.8333
Jean Clair,académie française,"vicaire, jean",0.8333
Jonathan Richardson,"pope, alexander","richardson, john",0.8333
Antonio Salieri,"tasso, torquato","vallisnieri, antonio",0.8333
John Piers,"wycliffe, john","pearson, john",0.8333
Alexander Roberts,Antichrist,"beatson, alexander",0.8333
William IV,"egmont, john perceval","pitt, william",0.8333
Herman Kahn,Militarism,"bang, herman",0.8333
Francesco Pisani,"palladio, andrea","sacchini, francesco",0.8333
Paul Rieger,נתן בן יחיאל,"ritter, paul",0.8333
Alexander Thomson,William Morris,"beatson, alexander",0.8333
John Searle,Metaphor,"selden, john",0.8333
Charles William Sherborn,Ex libris (bookplate),"wilson, charles william",0.8333
Henry Hotham,Hundred Days,"huth, henry",0.8333
John Maron,ephraem,"pearson, john",0.8333
John Marin,"gallatin, a. e","chardin, john",0.8333
Joseph Smith,Enoch,"smith, john",0.8333
William Warburton,"sterne, laurence","robertson, william",0.8333
Henry Care,Rye House Plot,"marten, henry",0.8333
Friedrich Rochlitz,Wolfgang Amadeus Mozart,"schmit, friedrich",0.8333
Johann Friedrich Rochlitz,"beethoven, ludwig van","hirt, johann friedrich",0.8333
John Howson,"bury, richard de","hudson, john",0.8333
Jean de Tournes,"salomon, bernard","tourneroche, jean de",0.8333
Giovanni Domenico Cassini,chrysanthos,"mansi, giovan domenico",0.8333
Nicetas of Chonae,"choniates, nicetas","choniates, nicetas",0.8333
John Freely,Sabbatai Zevi,"evelyn, john",0.8333
George Ent,"wotton, edward","eliot, george",0.8333
Mary Martin,"barrault, jean-louis","smart, martin",0.8333
Eugène Ysaÿe,Belgium,"sue, eugène",0.8333
Cornelius Tollius,"vossius, isaac","tacitus, cornelius",0.8333
Johann Rosenmuller,"rosenmüller, johann georg","rosenberg, johann",0.8333
Johann Gottfried Lessing,"lessing, gotthold ephraim","hasse, johann gottfried",0.8333
Henry Pigot,"reid, william","light, henry",0.8333
Charles Chamberland,History of medicine,"cameron, charles",0.8333
Domenico Jacobini,catholic church. congregatio de propaganda fide,"nicolini, domenico",0.8333
André Pirro,"rokseth, yvonne","spire, andré",0.8333
Antipope Alexander V,ambrose,"pope, alexander",0.8333
Michel Heine,"heine, heinrich","ney, michel",0.8333
Elias Gyftopoulos,Heat,"petropoulos, elias",0.8333
Giuseppe Canestrini,"guicciardini, francesco","pasini, giuseppe",0.8333
Lewis Perry,"perry, bliss","perry, bliss",0.8333
John Mitchum,"דין, ג","smith, john",0.8333
John Smibert,"du bosc, claude","smith, john",0.8333
Louis Havet,phaedrus,"vitet, louis",0.8333
Thomas Ken,"walton, izaak","penny, thomas",0.8333
Thomas Hood,"railton, herbert","hyde, thomas",0.8333
Thomas Dove,"prideaux, humphrey","hyde, thomas",0.8333
George Lackington,"lackington, james","washington, george",0.8333
Bartolomeo Spina,Nicolaus Copernicus,"soliani, bartolomeo",0.8333
Johann Gottfried Schadow,Nicolaus Copernicus,"hasse, johann gottfried",0.8333
John Adney Emerton,"hyde, thomas","repton, john adey",0.8333
George Eld,"shakespeare, william","eliot, george",0.8333
Louis Pivet,Naval warfare of World War I,"vitet, louis",0.8333
Thomas Roma,"friedlander, lee","mann, thomas",0.8333
Jean-Baptiste Perronneau,Jean-Baptiste Oudry,"rousseau, jean-baptiste",0.8333
James Frey,Literary forgery,"forbes, james",0.8333
John Hanson,Great Siege of Gibraltar,"hudson, john",0.8333
